instansi,status,reference
pemerintah kota jakarta barat,no,pemerintah kota jakarta pusat
pemerintah kota jakarta selatan,yes,pemkot jakarta selatan
pemerintah kota jakarta selatan,yes,pemerintah kota administrasi jakarta selatan
pemerintah kota jakarta selatan,no,pemerintah kota jakarta pusat
pemerintah kota jakarta selatan,no,pemerintah kota jakarta barat
pemerintah kota jakarta timur,yes,pemkot jakarta timur
pemerintah kota jakarta timur,yes,pemerintah kota administrasi jakarta timur
pemerintah kota jakarta timur,no,pemerintah kota jakarta selatan
pemerintah kota jakarta timur,no,pemerintah kota jakarta pusat
pemerintah kota jakarta utara,yes,pemkot jakarta utara
pemerintah kota jakarta utara,yes,pemerintah kota administrasi jakarta utara
pemerintah kota jakarta utara,no,pemerintah kota jakarta timur
pemerintah kota jakarta utara,no,pemerintah kota jakarta pusat
pemerintah provinsi dki jakarta,yes,pemprov dki jakarta
pemerintah provinsi dki jakarta,yes,pemerintah provinsi daerah khusus ibukota jakarta
pemerintah provinsi dki jakarta,no,pemerintah provinsi jawa barat
pemerintah provinsi dki jakarta,no,pemerintah provinsi bali
pemerintah kabupaten boalemo,yes,pemkab boalemo
pemerintah kabupaten boalemo,no,boalemo
pemerintah kabupaten boalemo,yes,pemerintah boalemo
pemerintah kabupaten bone bolango,yes,pemkab bone bolango
pemerintah kabupaten bone bolango,no,bone bolango
pemerintah kabupaten bone bolango,yes,pemerintah bone bolango
pemerintah kabupaten gorontalo utara,yes,pemkab gorontalo utara
pemerintah kabupaten gorontalo utara,no,gorontalo utara
pemerintah kabupaten gorontalo utara,yes,pemerintah gorontalo utara
pemerintah kabupaten pohuwato,yes,pemkab pohuwato
pemerintah kabupaten pohuwato,no,pohuwato
pemerintah kabupaten pohuwato,yes,pemerintah pohuwato
pemerintah provinsi gorontalo,yes,pemprov gorontalo
pemerintah provinsi gorontalo,no,gorontalo
pemerintah kabupaten batanghari,yes,pemkab batanghari
pemerintah kabupaten batanghari,no,batanghari
pemerintah kabupaten batanghari,yes,pemerintah batanghari
pemerintah kabupaten bungo,yes,pemkab bungo
pemerintah kabupaten bungo,no,bungo
pemerintah kabupaten bungo,yes,pemerintah bungo
pemerintah kabupaten kerinci,yes,pemkab kerinci
pemerintah kabupaten kerinci,no,kerinci
pemerintah kabupaten kerinci,yes,pemerintah kerinci
pemerintah kabupaten merangin,yes,pemkab merangin
pemerintah kabupaten merangin,no,merangin
pemerintah kabupaten merangin,yes,pemerintah merangin
pemerintah kabupaten sarolangun,yes,pemkab sarolangun
pemerintah kabupaten sarolangun,no,sarolangun
pemerintah kabupaten sarolangun,yes,pemerintah sarolangun
pemerintah kabupaten tanjung jabung barat,yes,pemkab tanjung jabung barat
pemerintah kabupaten tanjung jabung barat,no,tanjung jabung barat
pemerintah kabupaten tanjung jabung barat,yes,pemerintah tanjung jabung barat
pemerintah kabupaten tanjung jabung timur,yes,pemkab tanjung jabung timur
pemerintah kabupaten tanjung jabung timur,no,tanjung jabung timur
pemerintah kabupaten tanjung jabung timur,yes,pemerintah tanjung jabung timur
pemerintah kota jambi,yes,pemkaot jambi
pemerintah kota jambi,no,bone bolango
pemerintah kota sungai penuh,yes,pemkab sungai penuh
pemerintah kota sungai penuh,no,sungai penuh
pemerintah kota sungai penuh,yes,pemerintah sungai penuh
pemerintah kabupaten bandung,yes,pemkab bandung
pemerintah kabupaten bandung,no,bandung
pemerintah kabupaten bandung,yes,pemerintah bandung
pemerintah kabupaten bekasi,yes,pemkab bekasi
pemerintah kabupaten bekasi,no,bekasi
pemerintah kabupaten bekasi,yes,pemerintah bekasi
pemerintah kabupaten cianjur,yes,pemkab cianjur
pemerintah kabupaten cianjur,no,cianjur
pemerintah kabupaten cianjur,yes,pemerintah cianjur
pemerintah kabupaten garut,yes,pemkab garut
pemerintah kabupaten garut,no,garut
pemerintah kabupaten garut,yes,pemerintah garut
pemerintah kabupaten indramayu,yes,pemkab indramayu
pemerintah kabupaten indramayu,no,indramayu
pemerintah kabupaten indramayu,yes,pemerintah indramayu
pemerintah kabupaten kuningan,yes,pemkab kuningan
pemerintah kabupaten kuningan,no,kuningan
pemerintah kabupaten kuningan,yes,pemerintah kuningan
pemerintah kabupaten majalengka,yes,pemkab majalengka
pemerintah kabupaten majalengka,no,majalengka
pemerintah kabupaten majalengka,yes,pemerintah majalengka
pemerintah kabupaten pangandaran,yes,pemkab pangandaran
pemerintah kabupaten pangandaran,no,pangandaran
pemerintah kabupaten pangandaran,yes,pemerintah pangandaran
pemerintah kabupaten purwakarta,yes,pemkab purwakarta
pemerintah kabupaten purwakarta,no,purwakarta
pemerintah kabupaten purwakarta,yes,pemerintah purwakarta
pemerintah kabupaten subang,yes,pemkab subang
pemerintah kabupaten subang,no,subang
pemerintah kabupaten subang,yes,pemerintah subang
pemerintah kabupaten sukabumi,yes,pemkab sukabumi
pemerintah kabupaten sukabumi,no,sukabumi
pemerintah kabupaten sukabumi,yes,pemerintah sukabumi
pemerintah kabupaten sumedang,yes,pemkab sumedang
pemerintah kabupaten sumedang,no,sumedang
pemerintah kabupaten sumedang,yes,pemerintah sumedang
pemerintah kabupaten tasikmalaya,yes,pemkab tasikmalaya
pemerintah kabupaten tasikmalaya,no,tasikmalaya
pemerintah kabupaten tasikmalaya,yes,pemerintah tasikmalaya
pemerintah kota bandung,yes,pemkot bandung
pemerintah kota bandung,no,bandung
pemerintah kota banjar,yes,pemkot banjar
pemerintah kota banjar,no,banjar
pemerintah kota cimahi,yes,pemkot cimahi
pemerintah kota cimahi,no,cimahi
pemerintah kota cimahi,yes,pemerintah cimahi
pemerintah kota cirebon,yes,pemkot cirebon
pemerintah kota cirebon,no,cirebon
pemerintah kota depok,yes,pemkot depok
pemerintah kota depok,no,depok
pemerintah kota depok,yes,pemerintah depok
pemerintah kota sukabumi,yes,pemkot sukabumi
pemerintah kota sukabumi,no,sukabumi
pemerintah kota tasikmalaya,yes,pemkot tasikmalaya
pemerintah kota tasikmalaya,no,tasikmalaya
pemerintah kabupaten banjarnegara,yes,pemkab banjarnegara
pemerintah kabupaten banjarnegara,no,banjarnegara
pemerintah kabupaten banjarnegara,yes,pemerintah banjarnegara
pemerintah kabupaten banyumas,yes,pemkab banyumas
pemerintah kabupaten banyumas,no,banyumas
pemerintah kabupaten banyumas,yes,pemerintah banyumas
pemerintah kabupaten batang,yes,pemkab batang
pemerintah kabupaten batang,no,batang
pemerintah kabupaten batang,yes,pemerintah batang
pemerintah kabupaten cilacap,yes,pemkab cilacap
pemerintah kabupaten cilacap,no,cilacap
pemerintah kabupaten cilacap,yes,pemerintah cilacap
pemerintah kabupaten demak,yes,pemkab demak
pemerintah kabupaten demak,no,demak
pemerintah kabupaten demak,yes,pemerintah demak
pemerintah kabupaten grobogan,yes,pemkab grobogan
pemerintah kabupaten grobogan,no,grobogan
pemerintah kabupaten grobogan,yes,pemerintah grobogan
pemerintah kabupaten jepara,yes,pemkab jepara
pemerintah kabupaten jepara,no,jepara
pemerintah kabupaten jepara,yes,pemerintah jepara
pemerintah kabupaten karanganyar,yes,pemkab karanganyar
pemerintah kabupaten karanganyar,no,karanganyar
pemerintah kabupaten karanganyar,yes,pemerintah karanganyar
pemerintah kabupaten klaten,yes,pemkab klaten
pemerintah kabupaten klaten,no,klaten
pemerintah kabupaten klaten,yes,pemerintah klaten
pemerintah kabupaten kudus,yes,pemkab kudus
pemerintah kabupaten kudus,no,kudus
pemerintah kabupaten kudus,yes,pemerintah kudus
pemerintah kabupaten pati,yes,pemkab pati
pemerintah kabupaten pati,no,pati
pemerintah kabupaten pati,yes,pemerintah pati
pemerintah kabupaten pekalongan,yes,pemkab pekalongan
pemerintah kabupaten pekalongan,no,pekalongan
pemerintah kabupaten pekalongan,yes,pemerintah pekalongan
pemerintah kabupaten purbalingga,yes,pemkab purbalingga
pemerintah kabupaten purbalingga,no,purbalingga
pemerintah kabupaten purbalingga,yes,pemerintah purbalingga
pemerintah kabupaten rembang,yes,pemkab rembang
pemerintah kabupaten rembang,no,rembang
pemerintah kabupaten rembang,yes,pemerintah rembang
pemerintah kabupaten semarang,yes,pemkab semarang
pemerintah kabupaten semarang,no,semarang
pemerintah kabupaten semarang,yes,pemerintah semarang
pemerintah kabupaten tegal,yes,pemkab tegal
pemerintah kabupaten tegal,no,tegal
pemerintah kabupaten tegal,yes,pemerintah tegal
pemerintah kabupaten wonogiri,yes,pemkab wonogiri
pemerintah kabupaten wonogiri,no,wonogiri
pemerintah kabupaten wonogiri,yes,pemerintah wonogiri
pemerintah kabupaten wonosobo,yes,pemkab wonosobo
pemerintah kabupaten wonosobo,no,wonosobo
pemerintah kabupaten wonosobo,yes,pemerintah wonosobo
pemerintah kota salatiga,yes,pemkot salatiga
pemerintah kota salatiga,no,salatiga
pemerintah kota salatiga,yes,pemerintah salatiga
pemerintah kota semarang,yes,pemkot semarang
pemerintah kota semarang,no,semarang
pemerintah kota surakarta,yes,pemkot surakarta
pemerintah kota surakarta,no,surakarta
pemerintah kota surakarta,yes,pemerintah surakarta
pemerintah kota tegal,yes,pemkot tegal
pemerintah kota tegal,no,tegal
pemerintah kabupaten bangkalan,yes,pemkab bangkalan
pemerintah kabupaten bangkalan,no,bangkalan
pemerintah kabupaten bangkalan,yes,pemerintah bangkalan
pemerintah kabupaten banyuwangi,yes,pemkab banyuwangi
pemerintah kabupaten banyuwangi,no,banyuwangi
pemerintah kabupaten banyuwangi,yes,pemerintah banyuwangi
pemerintah kabupaten blitar,yes,pemkab blitar
pemerintah kabupaten blitar,no,blitar
pemerintah kabupaten blitar,yes,pemerintah blitar
pemerintah kabupaten bojonegoro,yes,pemkab bojonegoro
pemerintah kabupaten bojonegoro,no,bojonegoro
pemerintah kabupaten bojonegoro,yes,pemerintah bojonegoro
pemerintah kabupaten bondowoso,yes,pemkab bondowoso
pemerintah kabupaten bondowoso,no,bondowoso
pemerintah kabupaten bondowoso,yes,pemerintah bondowoso
pemerintah kabupaten gresik,yes,pemkab gresik
pemerintah kabupaten gresik,no,gresik
pemerintah kabupaten gresik,yes,pemerintah gresik
pemerintah kabupaten jember,yes,pemkab jember
pemerintah kabupaten jember,no,jember
pemerintah kabupaten jember,yes,pemerintah jember
pemerintah kabupaten kediri,yes,pemkab kediri
pemerintah kabupaten kediri,no,kediri
pemerintah kabupaten kediri,yes,pemerintah kediri
pemerintah kabupaten lumajang,yes,pemkab lumajang
pemerintah kabupaten lumajang,no,lumajang
pemerintah kabupaten lumajang,yes,pemerintah lumajang
pemerintah kabupaten madiun,yes,pemkab madiun
pemerintah kabupaten madiun,no,madiun
pemerintah kabupaten madiun,yes,pemerintah madiun
pemerintah kabupaten mojokerto,yes,pemkab mojokerto
pemerintah kabupaten mojokerto,no,mojokerto
pemerintah kabupaten mojokerto,yes,pemerintah mojokerto
pemerintah kabupaten nganjuk,yes,pemkab nganjuk
pemerintah kabupaten nganjuk,no,nganjuk
pemerintah kabupaten nganjuk,yes,pemerintah nganjuk
pemerintah kabupaten ngawi,yes,pemkab ngawi
pemerintah kabupaten ngawi,no,ngawi
pemerintah kabupaten ngawi,yes,pemerintah ngawi
pemerintah kabupaten pamekasan,yes,pemkab pamekasan
pemerintah kabupaten pamekasan,no,pamekasan
pemerintah kabupaten pamekasan,yes,pemerintah pamekasan
pemerintah kabupaten pasuruan,yes,pemkab pasuruan
pemerintah kabupaten pasuruan,no,pasuruan
pemerintah kabupaten pasuruan,yes,pemerintah pasuruan
pemerintah kabupaten ponorogo,yes,pemkab ponorogo
pemerintah kabupaten ponorogo,no,ponorogo
pemerintah kabupaten ponorogo,yes,pemerintah ponorogo
pemerintah kabupaten probolinggo,yes,pemkab probolinggo
pemerintah kabupaten probolinggo,no,probolinggo
pemerintah kabupaten probolinggo,yes,pemerintah probolinggo
pemerintah kabupaten sampang,yes,pemkab sampang
pemerintah kabupaten sampang,no,sampang
pemerintah kabupaten sampang,yes,pemerintah sampang
pemerintah kabupaten situbondo,yes,pemkab situbondo
pemerintah kabupaten situbondo,no,situbondo
pemerintah kabupaten situbondo,yes,pemerintah situbondo
pemerintah kabupaten sumenep,yes,pemkab sumenep
pemerintah kabupaten sumenep,no,sumenep
pemerintah kabupaten sumenep,yes,pemerintah sumenep
pemerintah kabupaten trenggalek,yes,pemkab trenggalek
pemerintah kabupaten trenggalek,no,trenggalek
pemerintah kabupaten trenggalek,yes,pemerintah trenggalek
pemerintah kabupaten tuban,yes,pemkab tuban
pemerintah kabupaten tuban,no,tuban
pemerintah kabupaten tuban,yes,pemerintah tuban
pemerintah kota batu,yes,pemkot batu
pemerintah kota batu,no,batu
pemerintah kota batu,yes,pemerintah batu
pemerintah kota blitar,yes,pemkot blitar
pemerintah kota blitar,no,blitar
pemerintah kota kediri,yes,pemkot kediri
pemerintah kota kediri,no,kediri
pemerintah kota madiun,yes,pemkot madiun
pemerintah kota madiun,no,madiun
pemerintah kota malang,yes,pemkot malang
pemerintah kota malang,no,malang
pemerintah kota mojokerto,yes,pemkot mojokerto
pemerintah kota mojokerto,no,mojokerto
pemerintah kota pasuruan,yes,pemkot pasuruan
pemerintah kota pasuruan,no,pasuruan
pemerintah kota probolinggo,yes,pemkot probolinggo
pemerintah kota probolinggo,no,probolinggo
pemerintah provinsi jawa timur,yes,pemprov jawa timur
pemerintah provinsi jawa timur,no,jawa timur
pemerintah provinsi jawa timur,yes,pemerintah jawa timur
pemerintah provinsi jawa timur,yes,pemprov jatim
pemerintah kabupaten bengkayang,yes,pemkab bengkayang
pemerintah kabupaten bengkayang,no,bengkayang
pemerintah kabupaten bengkayang,yes,pemerintah bengkayang
pemerintah kabupaten kapuas hulu,yes,pemkab kapuas hulu
pemerintah kabupaten kapuas hulu,no,kapuas hulu
pemerintah kabupaten kapuas hulu,yes,pemerintah kapuas hulu
pemerintah kabupaten kayong utara,yes,pemkab kayong utara
pemerintah kabupaten kayong utara,no,kayong utara
pemerintah kabupaten kayong utara,yes,pemerintah kayong utara
pemerintah kabupaten melawi,yes,pemkab melawi
pemerintah kabupaten melawi,no,melawi
pemerintah kabupaten melawi,yes,pemerintah melawi
pemerintah kabupaten mempawah,yes,pemkab mempawah
pemerintah kabupaten mempawah,no,mempawah
pemerintah kabupaten mempawah,yes,pemerintah mempawah
pemerintah kabupaten sanggau,yes,pemkab sanggau
pemerintah kabupaten sanggau,no,sanggau
pemerintah kabupaten sanggau,yes,pemerintah sanggau
pemerintah kabupaten sekadau,yes,pemkab sekadau
pemerintah kabupaten sekadau,no,sekadau
pemerintah kabupaten sekadau,yes,pemerintah sekadau
pemerintah kabupaten sintang,yes,pemkab sintang
pemerintah kabupaten sintang,no,sintang
pemerintah kabupaten sintang,yes,pemerintah sintang
pemerintah kota pontianak,yes,pemkot pontianak
pemerintah kota pontianak,no,pontianak
pemerintah kota pontianak,yes,pemerintah pontianak
pemerintah kabupaten balangan,yes,pemkab balangan
pemerintah kabupaten balangan,no,balangan
pemerintah kabupaten balangan,yes,pemerintah balangan
pemerintah kabupaten banjar,yes,pemkab banjar
pemerintah kabupaten banjar,no,banjar
pemerintah kabupaten banjar,yes,pemerintah banjar
pemerintah kabupaten hulu sungai tengah,yes,pemkab hulu sungai tengah
pemerintah kabupaten hulu sungai tengah,no,hulu sungai tengah
pemerintah kabupaten hulu sungai tengah,yes,pemerintah hulu sungai tengah
pemerintah kabupaten hulu sungai utara,yes,pemkab hulu sungai utara
pemerintah kabupaten hulu sungai utara,no,hulu sungai utara
pemerintah kabupaten hulu sungai utara,yes,pemerintah hulu sungai utara
pemerintah kabupaten kotabaru,yes,pemkab kotabaru
pemerintah kabupaten kotabaru,no,kotabaru
pemerintah kabupaten kotabaru,yes,pemerintah kotabaru
pemerintah kabupaten tabalong,yes,pemkab tabalong
pemerintah kabupaten tabalong,no,tabalong
pemerintah kabupaten tabalong,yes,pemerintah tabalong
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh tengah
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh jaya
pemerintah kabupaten aceh barat,no,pemkab aceh jaya
pemerintah kabupaten aceh barat,no,pemkab aceh tengah
pemerintah kabupaten aceh barat,no,pemerintah provinsi nanggroe aceh darusalam
pemerintah kabupaten aceh barat,no,pemprov nanggroe aceh darusalam
pemerintah kabupaten aceh barat,no,pemkab aceh besar
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh besar
pemerintah kabupaten aceh barat,no,pemkab aceh timur
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh timur
pemerintah kabupaten aceh barat,no,pemerintah kota banda aceh
pemerintah kabupaten aceh barat,no,pemkab aceh tamiang
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh tamiang
pemerintah kabupaten aceh barat,no,pemkot banda aceh
pemerintah kabupaten aceh barat,yes,pemkab aceh barat
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh utara
pemerintah kabupaten aceh barat,no,pemkab aceh utara
pemerintah kabupaten aceh barat,no,pemkab aceh barat daya
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh tenggara
pemerintah kabupaten aceh barat,no,pemkab aceh tenggara
pemerintah kabupaten aceh barat,no,pemerintah kabupaten aceh selatan
